,id,city_name_en,governorate_name_en
194,8,Zefta,Gharbiya
195,8,El Santa,Gharbiya
196,8,Qutour,Gharbiya
197,8,Basion,Gharbiya
198,8,Samannoud,Gharbiya
199,9,Ismailia,Ismailia
200,9,Fayed,Ismailia
201,9,Qantara Sharq,Ismailia
202,9,Qantara Gharb,Ismailia
203,9,El Tal El Kabier,Ismailia
204,9,Abu Sawir,Ismailia
205,9,Kasasien El Gedida,Ismailia
206,9,Nefesha,Ismailia
207,9,Sheikh Zayed,Ismailia
208,10,Shbeen El Koom,Menofia
209,10,Sadat City,Menofia
210,10,Menouf,Menofia
211,10,Sars El-Layan,Menofia
212,10,Ashmon,Menofia
213,10,Al Bagor,Menofia
214,10,Quesna,Menofia
215,10,Berkat El Saba,Menofia
216,10,Tala,Menofia
217,10,Al Shohada,Menofia
218,11,Minya,Minya
219,11,Minya El Gedida,Minya
220,11,El Adwa,Minya
221,11,Magagha,Minya
222,11,Bani Mazar,Minya
223,11,Mattay,Minya
224,11,Samalut,Minya
225,11,Madinat El Fekria,Minya
226,11,Meloy,Minya
227,11,Deir Mawas,Minya
228,11,Abu Qurqas,Minya
229,11,Ard Sultan,Minya
230,12,Banha,Qaliubiya
231,12,Qalyub,Qaliubiya
232,12,Shubra Al Khaimah,Qaliubiya
233,12,Al Qanater Charity,Qaliubiya
234,12,Khanka,Qaliubiya
235,12,Kafr Shukr,Qaliubiya
236,12,Tukh,Qaliubiya
237,12,Qaha,Qaliubiya
238,12,Obour,Qaliubiya
239,12,Khosous,Qaliubiya
240,12,Shibin Al Qanater,Qaliubiya
241,12,Mostorod,Qaliubiya
242,13,El Kharga,New Valley
243,13,Paris,New Valley
244,13,Mout,New Valley
245,13,Farafra,New Valley
246,13,Balat,New Valley
247,13,Dakhla,New Valley
248,14,Suez,Suez
249,14,Alganayen,Suez
250,14,Ataqah,Suez
251,14,Ain Sokhna,Suez
252,14,Faysal,Suez
253,15,Aswan,Aswan
254,15,Aswan El Gedida,Aswan
255,15,Drau,Aswan
256,15,Kom Ombo,Aswan
257,15,Nasr Al Nuba,Aswan
258,15,Kalabsha,Aswan
259,15,Edfu,Aswan
260,15,Al-Radisiyah,Aswan
261,15,Al Basilia,Aswan
262,15,Al Sibaeia,Aswan
263,15,Abo Simbl Al Siyahia,Aswan
264,15,Marsa Alam,Aswan
265,16,Assiut,Assiut
266,16,Assiut El Gedida,Assiut
267,16,Dayrout,Assiut
268,16,Manfalut,Assiut
269,16,Qusiya,Assiut
270,16,Abnoub,Assiut
271,16,Abu Tig,Assiut
272,16,El Ghanaim,Assiut
273,16,Sahel Selim,Assiut
274,16,El Badari,Assiut
275,16,Sidfa,Assiut
276,17,Bani Sweif,Beni Suef
277,17,Beni Suef El Gedida,Beni Suef
278,17,Al Wasta,Beni Suef
279,17,Naser,Beni Suef
280,17,Ehnasia,Beni Suef
281,17,beba,Beni Suef
282,17,Fashn,Beni Suef
283,17,Somasta,Beni Suef
284,17,Alabbaseri,Beni Suef
285,17,Mokbel,Beni Suef
286,18,PorSaid,Port Said
287,18,Port Fouad,Port Said
288,18,Alarab,Port Said
289,18,Zohour,Port Said
290,18,Alsharq,Port Said
291,18,Aldawahi,Port Said
292,18,Almanakh,Port Said
293,18,Mubarak,Port Said
294,19,Damietta,Damietta
295,19,New Damietta,Damietta
296,19,Ras El Bar,Damietta
297,19,Faraskour,Damietta
298,19,Zarqa,Damietta
299,19,alsaru,Damietta
300,19,alruwda,Damietta
301,19,Kafr El-Batikh,Damietta
302,19,Azbet Al Burg,Damietta
303,19,Meet Abou Ghalib,Damietta
304,19,Kafr Saad,Damietta
305,20,Zagazig,Sharkia
306,20,Al Ashr Men Ramadan,Sharkia
307,20,Minya Al Qamh,Sharkia
308,20,Belbeis,Sharkia
309,20,Mashtoul El Souq,Sharkia
310,20,Qenaiat,Sharkia
311,20,Abu Hammad,Sharkia
312,20,El Qurain,Sharkia
313,20,Hehia,Sharkia
314,20,Abu Kabir,Sharkia
315,20,Faccus,Sharkia
316,20,El Salihia El Gedida,Sharkia
317,20,Al Ibrahimiyah,Sharkia
318,20,Deirb Negm,Sharkia
319,20,Kafr Saqr,Sharkia
320,20,Awlad Saqr,Sharkia
321,20,Husseiniya,Sharkia
322,20,san alhajar alqablia,Sharkia
323,20,Manshayat Abu Omar,Sharkia
324,21,Al Toor,South Sinai
325,21,Sharm El-Shaikh,South Sinai
326,21,Dahab,South Sinai
327,21,Nuweiba,South Sinai
328,21,Taba,South Sinai
329,21,Saint Catherine,South Sinai
330,21,Abu Redis,South Sinai
331,21,Abu Zenaima,South Sinai
332,21,Ras Sidr,South Sinai
333,22,Kafr El Sheikh,Kafr Al sheikh
334,22,Kafr El Sheikh Downtown,Kafr Al sheikh
335,22,Desouq,Kafr Al sheikh
336,22,Fooh,Kafr Al sheikh
337,22,Metobas,Kafr Al sheikh
338,22,Burg Al Burullus,Kafr Al sheikh
339,22,Baltim,Kafr Al sheikh
340,22,Masief Baltim,Kafr Al sheikh
341,22,Hamol,Kafr Al sheikh
342,22,Bella,Kafr Al sheikh
343,22,Riyadh,Kafr Al sheikh
344,22,Sidi Salm,Kafr Al sheikh
345,22,Qellen,Kafr Al sheikh
346,22,Sidi Ghazi,Kafr Al sheikh
347,23,Marsa Matrouh,Matrouh
348,23,El Hamam,Matrouh
349,23,Alamein,Matrouh
350,23,Dabaa,Matrouh
351,23,Al-Nagila,Matrouh
352,23,Sidi Brani,Matrouh
353,23,Salloum,Matrouh
354,23,Siwa,Matrouh
355,23,Marina,Matrouh
356,23,North Coast,Matrouh
357,24,Luxor,Luxor
358,24,New Luxor,Luxor
359,24,Esna,Luxor
360,24,New Tiba,Luxor
361,24,Al ziynia,Luxor
362,24,Al Bayadieh,Luxor
363,24,Al Qarna,Luxor
364,24,Armant,Luxor
365,24,Al Tud,Luxor
366,25,Qena,Qena
367,25,New Qena,Qena
368,25,Abu Tesht,Qena
369,25,Nag Hammadi,Qena
370,25,Deshna,Qena
371,25,Alwaqf,Qena
372,25,Qaft,Qena
373,25,Naqada,Qena
374,25,Farshout,Qena
375,25,Quos,Qena
376,26,Arish,North Sinai
377,26,Sheikh Zowaid,North Sinai
378,26,Nakhl,North Sinai
379,26,Rafah,North Sinai
380,26,Bir al-Abed,North Sinai
381,26,Al Hasana,North Sinai
382,27,Sohag,Sohag
383,27,Sohag El Gedida,Sohag
384,27,Akhmeem,Sohag
385,27,Akhmim El Gedida,Sohag
386,27,Albalina,Sohag
387,27,El Maragha,Sohag
388,27,almunsha'a,Sohag
389,27,Dar AISalaam,Sohag
390,27,Gerga,Sohag
391,27,Jahina Al Gharbia,Sohag
392,27,Saqilatuh,Sohag
393,27,Tama,Sohag
394,27,Tahta,Sohag
395,27,Alkawthar,Sohag
